How did serfdom develop in and then leave Russia ?	UNKNOWN
What films featured the character Popeye Doyle ?	WHAT
How can I find a list of celebrities ' real names ?	UNKNOWN
What fowl grabs the spotlight after the Chinese Year of the Monkey ?	WHAT
What is the full form of .com ?	WHAT
What contemptible scoundrel stole the cork from my lunch ?	WHO
What team did baseball 's St. Louis Browns become ?	WHO
What is the oldest profession ?	WHO
What are liver enzymes ?	UNKNOWN
Name the scar-faced bounty hunter of The Old West .	WHO
When was Ozzy Osbourne born ?	WHEN
Why do heavier objects travel downhill faster ?	UNKNOWN
Who was The Pride of the Yankees ?	WHO
Who killed Gandhi ?	WHO
What is considered the costliest disaster the insurance industry has ever faced ?	WHAT
What sprawling U.S. state boasts the most airports ?	UNKNOWN
What did the only repealed amendment to the U.S. Constitution deal with ?	UNKNOWN
How many Jews were executed in concentration camps during WWII ?	UNKNOWN
What is `` Nine Inch Nails '' ?	UNKNOWN
What is an annotated bibliography ?	UNKNOWN
What is the date of Boxing Day ?	WHEN
What articles of clothing are tokens in Monopoly ?	WHAT
Name 11 famous martyrs .	WHO
What 's the Olympic motto ?	UNKNOWN
What is the origin of the name ` Scarlett ' ?	UNKNOWN
What 's the second-most-used vowel in English ?	WHAT
Who was the inventor of silly putty ?	WHO
What is the highest waterfall in the United States ?	UNKNOWN
Name a golf course in Myrtle Beach .	WHAT
Which two states enclose Chesapeake Bay ?	UNKNOWN
What does the abbreviation AIDS stand for ?	WHAT
What does a spermologer collect ?	WHAT
How many points make up a perfect fivepin bowling score ?	UNKNOWN
Which company that manufactures video-game hardware sells the `` super system '' ?	WHO
How many Community Chest cards are there in Monopoly ?	UNKNOWN
What do Mormons believe ?	UNKNOWN
When did the neanderthal man live ?	WHEN
In what religion was Isis the nature goddess ?	WHAT
Where do the adventures of `` The Swiss Family Robinson '' take place ?	UNKNOWN
What relative of the racoon is sometimes known as the cat-bear ?	WHAT
How can I register my website in Yahoo for free ?	UNKNOWN
What was cash-conscious Colonel Edwin L. Drake the first to drill ?	WHAT
How many people in the world speak French ?	UNKNOWN
How many inches over six feet is the Venus de Milo ?	UNKNOWN
How do they find or choose witnesses to an execution ?	UNKNOWN
What 1920s cowboy star rode Tony the Wonder Horse ?	WHO
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?	WHAT
What ISPs exist in the Caribbean ?	WHO
How do you ask a total stranger out on a date ?	UNKNOWN
What weapon is the mythological character Apollo most proficient with ?	WHAT
What country do the Galapagos Islands belong to ?	UNKNOWN
What is ethology ?	UNKNOWN
Who was the prophet of the Muslim people ?	WHO
Where did the term `` 86ed '' come from ?	UNKNOWN
Who is Snoopy 's arch-enemy ?	WHO
What is the nature of learning ?	UNKNOWN
What 's the only color Johnny Cash wears on stage ?	WHAT
What 's the term for a young fox ?	WHAT
What U.S. state lived under six flags ?	UNKNOWN
What is the Kashmir issue ?	UNKNOWN
Where is the Loop ?	UNKNOWN
What does `` extended definition '' mean and how would one write a paper on it ?	UNKNOWN
What country 's capital is Tirana ?	UNKNOWN
What is titanium ?	UNKNOWN
Who do Herb and Tootsie live next door to ?	WHO
Which city has the oldest relationship as a sister city with Los Angeles ?	UNKNOWN
What is a caldera ?	UNKNOWN
Why do people get calluses ?	UNKNOWN
What are the names of the tourist attractions in Reims ?	UNKNOWN
What are Cushman and Wakefield known for ?	UNKNOWN
What body of water does the Danube River flow into ?	UNKNOWN
Who is the founder of Scientology ?	WHO
What does the six-footed Musca domestica become when it enters a house ?	WHAT
What is the history of skateboarding ?	UNKNOWN
Who starred in Singing in the Rain and The Singing Nun ?	WHO
How do I make fuel bricks from recycled newspaper ?	UNKNOWN
What 19th-century painter died in the Marquesas Islands ?	WHO
The corpus callosum is in what part of the body ?	WHAT
How do I log on to home page at Headquarters U.S. European Command ?	UNKNOWN
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .	UNKNOWN
What is Nebraska 's most valuable resource ?	WHAT
How many species of the Great White shark are there ?	UNKNOWN
What is the origin of head lice ?	UNKNOWN
What is the nickname for the state of Mississippi ?	UNKNOWN
What was the first domesticated bird ?	WHAT
How many villi are found in the small intestine ?	UNKNOWN
What country did King Wenceslas rule ?	UNKNOWN
What is a fear of shadows ?	WHAT
Who were the five Marx brothers ?	WHO
In which year was New Zealand excluded from the ANZUS alliance ?	WHEN
When did CNN begin broadcasting ?	WHEN
What causes the body to shiver in cold temperatures ?	UNKNOWN
What are bear and bull markets ?	UNKNOWN
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	WHAT
What is `` dew point '' ?	UNKNOWN
What is the meaning of Jesus ?	UNKNOWN
What company 's logo is a `` W '' in a circle ?	WHO
What is the definition of a cascade ?	UNKNOWN
When did Rococo painting and architecture flourish ?	WHEN
What country 's national passenger rail system is called Via ?	UNKNOWN
Who invented Make-up ?	WHO
What is the origin of the word `` attic '' ?	UNKNOWN
What did Delilah do to Samson 's hair ?	UNKNOWN
What kind of animals were in the Paleozoic era ?	WHAT
Which of the following was Rhodes Scholar ?	WHO
Who comprised the now-defunct comic book team known as the Champions ?	WHO
How do you make a paintball ?	UNKNOWN
What U.S. state is Fort Knox in ?	UNKNOWN
What is a female rabbit called ?	WHAT
Where is the highest point in Japan ?	UNKNOWN
Where do chihuahuas come from ?	UNKNOWN
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	UNKNOWN
What are the world 's four oceans ?	UNKNOWN
What 's the only work by Michelangelo that bears his signature ?	WHAT
What is the largest snake in the world ?	WHAT
In what medium is Stuart Hamblen considered to be the first singing cowboy ?	WHAT
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?	UNKNOWN
How much money does a back injury lawsuit get ?	UNKNOWN
What 's the common name for acetylsalicylic acid ?	WHAT
What does the Georgetown `` Hoya '' mean ?	UNKNOWN
Where can I find a list of `` classic '' books 5th and 6th graders should read ?	UNKNOWN
Which two products use a tiger as their symbol ?	WHAT
How is the election of a new Pope announced to the world ?	UNKNOWN
How long does it take for your blood to make one complete trip through the body ?	UNKNOWN
How do chickens have baby chicks ?	UNKNOWN
What is the historical relationship of Catholic Church and bingo ?	UNKNOWN
How was the element calcium named ?	UNKNOWN
What crooner joined The Andrews Sisters for Pistol Packin Mama ?	WHO
What piano company claims its product is the `` Instrument of the immortals '' ?	WHO
When did the Bounty mutiny take place ?	WHEN
What novel inspired the movie BladeRunner ?	WHAT
What is a transistor ?	UNKNOWN
What is a film starring Jude Law ?	WHAT
What Hollywood dog died in the arms of Jean Harlow in 1932 ?	WHAT
What are the most common elements in the Earth 's crust ?	WHAT
How much would it cost to purchase a 2-foot-square party tent , with sides , ?	UNKNOWN
What actress has received the most Oscar nominations ?	WHO
What are equity securities ?	UNKNOWN
What is gymnophobia ?	UNKNOWN
How many years do fossils take to form ?	UNKNOWN
Where is the Orinoco ?	UNKNOWN
What was the name of the `` Little Rascals '' dog ?	WHAT
What city boasts Penn 's Landing , on the banks of the Delaware river ?	UNKNOWN
What Broadway musical was inspired by Cervantes 's Don Quixote ?	WHAT
What is the origin of the word , JJ .	UNKNOWN
How many hostages were killed in the Entebbe raid ?	UNKNOWN
How you can raise your IQ ?	UNKNOWN
What does INRI stand for when used on Jesus ' cross ?	WHAT
Who produces Spumante ?	WHO
Who earns their money the hard way ?	WHO
Who founded the People 's Temple Commune ?	WHO
What athlete makes the most money from sports merchandise sales ?	WHO
How many bends are there in a standard paper clip ?	UNKNOWN
Who discovered electricity ?	WHO
What part of your body contains the corpus callosum ?	WHAT
Who was the first American in space ?	WHO
What two South American countries do n't border Brazil ?	UNKNOWN
What album put The Beatles on the cover of Time in 1967 ?	WHAT
What poem contains the line , `` grow old with me the best is yet to be '' .	WHAT
What is a dental root canal ?	UNKNOWN
What war did the Wanna-Go-Home Riots occur after ?	WHAT
What is the busiest air travel season ?	WHEN
What 's the colored part of the eye called ?	WHAT
What are hook worms ?	UNKNOWN
Where is the Rose Bowl played ?	UNKNOWN
Which Japanese car maker had its biggest percentage of sale in the domestic market ?	WHO
Who is the mayor of Marbella ?	WHO
What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?	UNKNOWN
In what year did Thatcher become prime minister ?	WHEN
How many months does it take the moon to revolve around the Earth ?	UNKNOWN
Where are the 49 steps ?	UNKNOWN
In what year was De Gaulle elected president of France ?	WHEN
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?	WHO
Who directed `` Jaws '' ?	WHO
On what T.V. show could Tom Terrific be found ?	WHAT
What Indian tribe is F Troop perpetually doing battle with ?	WHO
Where did Indian Pudding come from ?	UNKNOWN
Why do some clothing labels say `` Use a nonchlorine bleach '' ?	UNKNOWN
How many colonies were involved in the American Revolution ?	UNKNOWN
What is the name of the city that Maurizio Pellegrin lives in ?	UNKNOWN
Where can I find pictorial directions on how to build a very simple treehouse ?	UNKNOWN
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?	WHAT
What is the name of the managing director of Apricot Computer ?	WHO
What is the occupation of Nicholas Cage ?	WHO
Why do horseshoes bring luck ?	UNKNOWN
What is the 401 , K , plan ?	UNKNOWN
What causes pneumonia ?	UNKNOWN
What are the three winter months in the southern hemisphere ?	WHEN
What does gringo mean ?	UNKNOWN
What country contains Africa 's northernmost point ?	UNKNOWN
What therapy attempts to elicit the `` primal scream '' ?	WHAT
Where is the Kalahari desert ?	UNKNOWN
Which Ventura County police department seized the largest cocaine shipment in it 's history ?	WHO
What city is sometimes called Gotham ?	UNKNOWN
What dangles over the tongue from the palate ?	WHAT
Who created Dennis the Menace ?	WHO
What dummy received an honorary degree from Northwestern University ?	WHO
When was the first Wall Street Journal published ?	WHEN
What countries have the largest areas of forest ?	UNKNOWN
How do I start a web based business ?	UNKNOWN
Name Alvin 's brothers	WHO
What is Eagle 's syndrome styloid process ?	UNKNOWN
How did Jayne Mansfield die ?	UNKNOWN
When did the royal wedding of Prince Andrew and Fergie take place ?	WHEN
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?	WHO
What explorer was nicknamed Iberia 's Pilot ?	WHO
CNN began broadcasting in what year ?	WHEN
What is a ball that hits the foul pole called ?	WHAT
What makes hamburgers taste like steakburgers ?	UNKNOWN
Which company created the Internet browser Mosaic ?	WHO
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?	WHAT
What was the education system in the 1960 's ?	WHAT
What South American city has the world 's highest commercial landing field ?	UNKNOWN
How can I find out which cities have cable-modem access ?	UNKNOWN
What is Betsy Ross famous for ?	UNKNOWN
How many species of sharks are there ?	UNKNOWN
What is `` snoogans '' ?	UNKNOWN
How many people are there in the world ?	UNKNOWN
What shrubs can be planted that will be safe from deer ?	WHAT
What organization 's offices were broken into at Watergate in 1972 ?	WHO
What is the design of the ship Titanic ?	UNKNOWN
What does S.O.S. stand for ?	WHAT
Name a technique widely used to detect birth defects ?	WHAT
What is the daily requirement of folic acid for an expectant mother ?	UNKNOWN
What is the `` 7-minute cigarette '' ?	UNKNOWN
What four forms does gold occur in ?	WHAT
What is the acreage of the Chappellet vineyard ?	UNKNOWN
How do you correctly say the word ` qigong ' ?	UNKNOWN
When did beethoven die ?	WHEN
How much does a new railroad coal car cost ?	UNKNOWN
What two European countries entered the War of American Independence against the British ?	UNKNOWN
What is the filmmakers collabrative ?	UNKNOWN
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?	WHO
What caused Harry Houdini 's death ?	UNKNOWN
Who was the mother of the man who would not be king , the duke of Windsor ?	WHO
How many revolutions does a standard LP make in three minutes ?	UNKNOWN
What is the name of the tallest mountain in the world ?	UNKNOWN
Where can I find a review of Nightmare on Elm Street in a film journal ?	UNKNOWN
What 's the slowest Olympic swimming stroke ?	WHAT
What was the name of the first Russian astronaut to do a spacewalk ?	WHO
What disease is transmitted by the Anopheles mosquito ?	WHAT
What rum is so `` mixable '' it is a one-brand bar ?	WHAT
How many South American countries have the letter Z in their names ?	UNKNOWN
What is the contents of proposition 98 ?	UNKNOWN
Where was George Washington born ?	UNKNOWN
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .	UNKNOWN
Who wrote NN DT NNP NNP '' ?	WHO
What is paracetamol ?	UNKNOWN
What are the powers and weaknesses of Green Lantern 's ring ?	UNKNOWN
Which mosquito 's bite draws blood , DT NN CC DT NN .	WHAT
When was the first steel mill in the United States built ?	WHEN
What diminutive American female gymnast stole the show at the 1984 Olympics ?	WHO
What is the origin of the name Katie ?	UNKNOWN
What schools in the Washington , DC NN NN VBP NN NN NN NN .	WHO
When did the Berlin Wall go up ?	WHEN
Who is Terrence Malick ?	WHO
What instrument is Ray Charles best known for playing ?	WHAT
What 's the meaning of the Latin battle cry : Ad arma , ad arma .	UNKNOWN
What is the mascot for Notre Dame University ?	WHAT
What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?	UNKNOWN
When did Mount St. Helen last have a significant eruption ?	WHEN
CNN is the abbreviation for what ?	WHAT
When did World War I start ?	WHEN
How many feet are there in a fathom ?	UNKNOWN
What is a Canada two-penny black ?	UNKNOWN
What European city do Nicois live in ?	UNKNOWN
How can I find out what year a Beanie Baby was introduced ?	UNKNOWN
What is the classic definition of tragic hero ?	UNKNOWN
To what does Microsoft 's Windows 3 owe its success ?	WHAT
Who was President of Afghanistan in 1994 ?	WHO
What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?	WHAT
What did brontosauruses eat ?	WHAT
What color bottles do good Rhine wines come in ?	WHAT
Who was the lead actress in the movie ` Sleepless in Seattle ' ?	WHO
Who was the 16th President of the United States ?	WHO
Who are the two sons of Ozzie and Harriet Nelson ?	WHO
What is molybdenum ?	UNKNOWN
When is Boxing Day ?	WHEN
What is the lowest level of the American judiciary ?	WHAT
When was the battle of the Somme fought ?	WHEN
How many people did Randy Craft kill ?	UNKNOWN
What 's the official animal of Canada ?	WHAT
When did Spielberg direct `` Jaws '' ?	WHEN
What is the size of the largest akita ?	UNKNOWN
What animal has the biggest eyes ?	WHAT
What is California 's capital ?	UNKNOWN
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?	WHO
Who was the founding member of the Pink Floyd band ?	WHO
What European country is home to the beer-producing city of Budweis ?	UNKNOWN
How do I find the balance of my social security account ?	UNKNOWN
What is the history of Valentine 's Day cards ?	UNKNOWN
Where was Christopher Columbus born ?	UNKNOWN
What do Italians call Florence ?	WHAT
How do you get to the top of the Eiffel Tower ?	UNKNOWN
What does ` PSI ' stand for ?	WHAT
What sea did the Romans call mare nostrum ?	UNKNOWN
What 's the term for a bet before cards are dealt ?	WHAT
Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?	WHAT
What city did the Flintstones live in ?	UNKNOWN
What is Latin for incompetent ?	WHAT
What chemicals are used in lethal injection ?	WHAT
What toy company is the world 's No.1 maker of female apparel ?	WHO
What board game does a `` wood-pusher '' play poorly ?	WHAT
Which Doonesbury character was likely to turn into a werewolf ?	WHO
What is the abbreviation for micro ?	WHAT
What are the 7 articles of the constitution ?	WHAT
Who has won the most Super Bowls ?	WHO
What does NASDAQ stand for ?	WHAT
What is BPH ?	WHAT
What is the fastest commercial automobile that can be bought in the US ?	WHAT
What stadium do the Miami Dolphins play their home games in ?	UNKNOWN
Who has the only speaking role in `` Silent Movie '' ?	WHO
Why is poop sometimes different colors ?	UNKNOWN
What was Einstein 's IQ ?	UNKNOWN
What day was Pearl Harbor attacked in 1942 ?	WHEN
What girl 's name is `` Teddy '' an affectionate form of ?	WHO
What state is John F. Kennedy buried in ?	UNKNOWN
What is the best way to remove wallpaper ?	WHAT
What U.S. state has an element named for it ?	UNKNOWN
What company tabulates the ballots in voting for the Academy Awards ?	WHO
How did the tradition of best man start ?	UNKNOWN
How many years ago did the ship Titanic sink ?	UNKNOWN
What is the deepest area of the Arctic Ocean ?	UNKNOWN
What are Halloween 's colors ?	WHAT
How is silk screening done ?	UNKNOWN
What is the latitude and longitude of El Paso , Texas ?	UNKNOWN
Who made a boat out of gopher wood ?	WHO
Where can I find a `` Fifth Element '' screensaver ?	UNKNOWN
Which Bloom County resident wreaks havoc with a computer ?	WHO
How do you match a name to a social security number ?	UNKNOWN
How does a rainbow form ?	UNKNOWN
What is the normal resting heart rate of a healthy adult ?	UNKNOWN
What is the population of Ohio ?	UNKNOWN
How many calories are there in a Big Mac ?	UNKNOWN
Hazmat stands for what ?	UNKNOWN
What creature scares people in the film `` Jaws '' ?	WHAT
What part did John Peter Zenger play in the deveopment of the newspaper in America ?	WHO
Who followed Caesar ?	WHO
What are the four elements ?	WHAT
Who was the first woman golfer to earn a million ?	WHO
What 's the tallest piece on a chessboard ?	WHAT
What is Answers.com 's address ?	UNKNOWN
Where can I buy movies on videotape online ?	UNKNOWN
Who does the advertizing for Frito-Lay ?	WHO
Who is the leading competitor of Trans Union Company ?	WHO
What product did Robert Conrad dare people to knock off his shoulder ?	WHAT
Who invented the radio ?	WHO
What 's the American dollar equivalent for 8 pounds in the U.K. ?	UNKNOWN
What are the different approaches of systems analysis ?	WHAT
How do doctors diagnose bone cancer ?	UNKNOWN
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?	WHO
What is the speed of the Mississippi River ?	UNKNOWN
What are the developmental stages of a swimmer ?	WHAT
What actor first portrayed James Bond ?	WHO
What ocean is the largest in the world ?	UNKNOWN
Who was the first American poet to win the Nobel Prize for literature , in 1948 ?	WHO
What year did Jack Nicklaus join the Professional Golfers Association tour ?	WHEN
How many sonnets did Shakespeare write ?	UNKNOWN
What causes the redness in your cheeks when you blush ?	UNKNOWN
Who won the Nobel Peace Prize in 1991 ?	WHO
Who are the Challengers of the Unknown ?	WHO
Define the Pheonix Club ?	UNKNOWN
Which city did Christian Crusaders fight to recapture from the Muslims ?	UNKNOWN
What does it mean `` Rupee Depreciates '' ?	UNKNOWN
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?	WHAT
Who was the first coach of the Cleveland Browns ?	WHO
How successful is arometherapy ?	UNKNOWN
What Jewish holiday saw the start of the 1973 Mideast War ?	WHAT
How does a copier work ?	UNKNOWN
What is the speed of the Mississippi River ?	UNKNOWN
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?	WHO
What is Dudley Do-Right 's horse 's name ?	WHAT
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?	WHO
Where does chocolate come from ?	UNKNOWN
What TV game show once saw a contestant admit to picking his toes in the shower ?	WHAT
What Soviet leader owned a Rolls-Royce ?	WHO
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?	UNKNOWN
What war did Florence Nightingale tend the troops in ?	WHAT
Who wrote the song , `` Stardust '' ?	WHO
How many Beatles ' records went #1 ?	UNKNOWN
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?	WHO
What is the abbreviation of the company name ` General Motors ' ?	WHAT
What mountains lie between the Arkansas and Missouri rivers ?	UNKNOWN
Who received the Will Rogers Award in 1989 ?	WHO
What is the function of RAM ?	UNKNOWN
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?	UNKNOWN
How many equal angles are there in an isosceles triangle ?	UNKNOWN
What is the fear of cockroaches called ?	WHAT
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?	WHAT
What is the use of a 24-hour clock instead of a 12-hour clock ?	UNKNOWN
What was the name of the lawyer who represented Randy Craft ?	WHO
What United States President had dreamed that he was assassinated ?	WHO
What film did Lee Marvin win the 1965 best actor Oscar for ?	WHAT
Where is Basque country located ?	UNKNOWN
What product does `` Mrs. Olsen '' promote ?	WHAT
What time of day did Emperor Hirohito die ?	WHEN
What is dry ice ?	UNKNOWN
What 's the most powerful card in Euchre ?	WHAT
What does `` intractable plantar keratoma '' mean ?	UNKNOWN
How many years did it take James Joyce to write Ulysses ?	UNKNOWN
What crop failure caused the Irish Famine ?	WHAT
What South Korean city is served by Kimpo International Airport ?	UNKNOWN
How many types of dogs ' tails are there - three	UNKNOWN
What is the longest-running television series ?	WHAT
What predators exist on Antarctica ?	WHAT
What is the difference between a generator and an alternator ?	UNKNOWN
How is energy created ?	UNKNOWN
What beer advertised that it had `` three rings '' ?	WHAT
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?	UNKNOWN
What golfing accessory was patented by George Grant on December 12	WHAT
What are the different types of plastic ?	WHAT
How is it correct to say ` qigong ' ?	UNKNOWN
What was the highest mountain on earth before Mount Everest was discovered ?	UNKNOWN
Where was the Ligurian Republic , 1797-185 , ?	UNKNOWN
What country 's people are the top television watchers ?	UNKNOWN
When was the women 's suffrage amendment ratified ?	WHEN
What Polynesian people inhabit New Zealand ?	WHO
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?	WHAT
What Nevada center has been dubbed The Biggest Little City in the World ?	UNKNOWN
What President lived at 219 North Delaware Street , Independence , Missouri ?	WHO
Give a reason for American Indians oftentimes dropping out of school .	UNKNOWN
Where must a soccer goalie stand to be permitted to handle the ball ?	UNKNOWN
What is the difference between classical conditioning and operant conditioning ?	UNKNOWN
In what U.S. state was the first woman governor elected ?	UNKNOWN
What are some interesting facts and information about dogsledding ?	UNKNOWN
What year did Hitler die ?	WHEN
What famous model was married to Billy Joel ?	WHO
What kind of animal is Babar ?	WHAT
What is Jane Goodall known for ?	UNKNOWN
What killed Bob Marley ?	WHAT
How much money are Dumbo 's ears insured for ?	UNKNOWN
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?	WHO
Who is Stein Eriksen ?	WHO
What does the name Billie mean ?	UNKNOWN
Who is the fastest swimmer in the world ?	WHO
What is the highest peak in Africa ?	UNKNOWN
Where is Procter & Gamble headquartered in the U.S. ?	UNKNOWN
What desert has been called The Garden of Allah ?	UNKNOWN
What do bicornate animals have two of ?	WHAT
What function does a community 's water tower serve ?	UNKNOWN
What is a fear of weakness ?	WHAT
How many miles is it to Ohio from North Carolina ?	UNKNOWN
How much snow equals an inch of rain ?	UNKNOWN
What does G.M.T. stand for ?	WHAT
What does Inuit and Eskimo mean ?	UNKNOWN
What song served as the closing theme of The Johnny Cash Show ?	WHAT
What field sport did dentist William Beers promote and write a standard book of rules for ?	WHAT
How do I tie dye clothes ?	UNKNOWN
When does the average teenager first have intercourse ?	WHEN
Why doesn 't www.answers.com have any answers to my questions ?	UNKNOWN
What actor 's autobiography is titled All My Yesterdays ?	WHO
What Russian master spy lived in the U.S. under the name Emil Goldfus ?	WHO
Where 's the 19th hole on a golf course ?	UNKNOWN
What 's nature 's purpose for tornadoes ?	UNKNOWN
Who played the original Charlie 's Angels ?	WHO
Where can I find a person 's address from a telephone number ?	UNKNOWN
What English word comes from the Old French covrefeu , meaning cover fire ?	WHAT
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?	WHAT
Where did Sarge Steel get his metal hand ?	UNKNOWN
What makes popcorn pop ?	UNKNOWN
Who wrote The Night of the Iguana ?	WHO
Where does your hair grow the fastest ?	WHAT
What country did King Gustav V reign over from 197 to 195 ?	UNKNOWN
Who painted Mother and Child ?	WHO
What is the speed of the Mississippi River ?	UNKNOWN
In what area of the world was the Six Day War fought ?	UNKNOWN
What is the brightest star visible from Earth ?	UNKNOWN
What film marked Robert Redford 's directorial debut ?	WHAT
What was Mao 's second name ?	WHO
What film or films has Jude Law appeared in ?	WHAT
Where do hyenas live ?	UNKNOWN
Who is the `` Queen Mother '' ?	WHO
What 's the most commonly-spoken language in Belgium ?	WHAT
Who has more DNA - a man or a woman ?	WHO
What are Maid-Rites ?	UNKNOWN
What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?	WHAT
What level of government or governmental agency is responsible for dealing with racism ?	WHO
How many referees work a soccer game ?	UNKNOWN
What cocktail do you concoct with whisky and sweet vermouth ?	WHAT
How do you say `` fresh '' in Spanish ?	WHAT
What do bee hives do in cranberry bogs ?	UNKNOWN
What caused the Lynmouth floods ?	UNKNOWN
When is the Tulip Festival in Michigan ?	WHEN
Who came up with the name , El Nino ?	WHO
What movie did Madilyn Kahn star in with Gene Wilder ?	WHAT
What type of bridge is the Golden Gate Bridge ?	WHAT
What dictator has the nickname `` El Maximo '' ?	WHO
What stereo manufacturer is `` Slightly ahead of its time '' ?	WHO
What U.S. city is The Queen of the Pacific ?	UNKNOWN
What TV sitcom character had the maiden name Ethel Potter ?	WHO
What was the first Lifesaver flavor ?	WHAT
Who kept the most famous diary in the English language ?	WHO
Where can I find out the top 1 singles ?	UNKNOWN
How many degrees cooler is the inside of a cucumber than the air outside ?	UNKNOWN
What Spanish artist painted Crucifixion ?	WHO
What is the Jewish bible called ?	WHAT
Why is the grass green ?	UNKNOWN
What is a firewall ?	UNKNOWN
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?	WHO
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?	WHO
How long does it take for Spider-Man 's web to evaporate ?	UNKNOWN
Who was Randy Steven Craft 's lawyer ?	WHO
What was known as the Spice Island ?	UNKNOWN
Who was the first host of Person to Person ?	WHO
Name the Ranger who was always after Yogi Bear .	WHO
What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?	WHAT
What does the Statue of Liberty wear on her feet ?	WHAT
Who is the superstar in rent-a-cars ?	WHO
